MLSNumber,ListPrice,ListingContractDate,County,YEAR,MONTH,MONTH_NAME
21748505,200000,2020-11-10,Johnson,2020,11,November
21736812,209900,2020-09-03,Johnson,2020,9,September
21744207,209900,2020-10-05,Johnson,2020,10,October
21742399,219900,2020-10-11,Johnson,2020,10,October
21719501,220000,2020-06-19,Johnson,2020,6,June
21755790,205000,2020-12-03,Johnson,2020,12,December
21716670,199900,2020-06-08,Johnson,2020,6,June
21747081,213000,2020-10-23,Johnson,2020,10,October
21738857,210000,2020-09-14,Johnson,2020,9,September
21732808,209900,2020-08-19,Johnson,2020,8,August
21709148,220000,2020-06-04,Johnson,2020,6,June
21746983,217000,2020-10-23,Johnson,2020,10,October
21752184,208000,2020-11-13,Johnson,2020,11,November
21740099,215000,2020-09-20,Johnson,2020,9,September
21748715,215900,2020-10-25,Johnson,2020,10,October
21723949,219900,2020-07-09,Johnson,2020,7,July
21738186,215000,2020-09-10,Johnson,2020,9,September
21724585,215000,2020-07-14,Johnson,2020,7,July
21739404,215000,2020-09-22,Johnson,2020,9,September
21734731,219900,2020-09-10,Johnson,2020,9,September
21743298,225000,2020-10-01,Johnson,2020,10,October
21728032,214900,2020-07-24,Johnson,2020,7,July
21734705,199900,2020-08-24,Johnson,2020,8,August
21721169,228500,2020-06-25,Johnson,2020,6,June
21720568,223500,2020-06-23,Johnson,2020,6,June
21751898,214900,2020-11-09,Johnson,2020,11,November
21748798,239900,2020-11-09,Johnson,2020,11,November
21743835,245000,2020-10-05,Johnson,2020,10,October
21737981,219900,2020-09-11,Johnson,2020,9,September
21737627,229900,2020-09-09,Johnson,2020,9,September
21735290,219900,2020-08-28,Johnson,2020,8,August
21735242,215000,2020-08-28,Johnson,2020,8,August
21728101,219900,2020-07-25,Johnson,2020,7,July
21719864,225000,2020-06-18,Johnson,2020,6,June
21739541,240000,2020-09-28,Johnson,2020,9,September
21724006,225000,2020-07-09,Johnson,2020,7,July
21743784,229900,2020-10-02,Johnson,2020,10,October
21749266,230000,2020-10-29,Johnson,2020,10,October
21743100,229900,2020-10-02,Johnson,2020,10,October
21736327,229900,2020-09-04,Johnson,2020,9,September
21724429,249999,2020-07-12,Johnson,2020,7,July
21723456,235000,2020-07-07,Johnson,2020,7,July
21723439,230000,2020-07-07,Johnson,2020,7,July
21718378,229900,2020-06-12,Johnson,2020,6,June
21749934,235000,2020-10-31,Johnson,2020,10,October
21742074,234900,2020-09-26,Johnson,2020,9,September
21740304,238000,2020-10-06,Johnson,2020,10,October
21734844,259900,2020-08-26,Johnson,2020,8,August
21732380,235000,2020-08-20,Johnson,2020,8,August
21730712,249900,2020-08-07,Johnson,2020,8,August
21719792,235000,2020-06-17,Johnson,2020,6,June
21716386,245000,2020-06-23,Johnson,2020,6,June
21711994,235000,2020-06-06,Johnson,2020,6,June
21730769,247900,2020-08-08,Johnson,2020,8,August
21738527,249900,2020-09-11,Johnson,2020,9,September
21743572,235000,2020-10-01,Johnson,2020,10,October
21725113,239900,2020-07-15,Johnson,2020,7,July
21749035,230000,2020-10-27,Johnson,2020,10,October
21740721,224900,2020-09-23,Johnson,2020,9,September
21740303,279900,2020-09-21,Johnson,2020,9,September
21735475,235000,2020-08-27,Johnson,2020,8,August
21725689,245000,2020-07-22,Johnson,2020,7,July
21722812,245000,2020-07-03,Johnson,2020,7,July
21721065,240000,2020-06-25,Johnson,2020,6,June
21739116,240000,2020-09-17,Johnson,2020,9,September
21736835,240000,2020-09-03,Johnson,2020,9,September
21712271,242000,2020-06-02,Johnson,2020,6,June
21730274,249900,2020-08-06,Johnson,2020,8,August
21743910,245000,2020-09-27,Johnson,2020,9,September
21737031,250000,2020-09-04,Johnson,2020,9,September
21728967,239900,2020-07-29,Johnson,2020,7,July
21718972,245000,2020-06-14,Johnson,2020,6,June
21711072,248800,2020-06-13,Johnson,2020,6,June
21736785,229900,2020-09-03,Johnson,2020,9,September
21746188,249900,2020-10-15,Johnson,2020,10,October
21743745,250000,2020-10-02,Johnson,2020,10,October
21736251,249900,2020-09-01,Johnson,2020,9,September
21737817,249000,2020-09-10,Johnson,2020,9,September
21743672,242500,2020-10-02,Johnson,2020,10,October
21724111,250000,2020-07-21,Johnson,2020,7,July
21740481,249900,2020-09-22,Johnson,2020,9,September
21753135,249900,2020-11-20,Johnson,2020,11,November
21752166,239000,2020-11-13,Johnson,2020,11,November
21750048,250000,2020-10-30,Johnson,2020,10,October
21743700,250000,2020-10-02,Johnson,2020,10,October
21731397,250000,2020-08-12,Johnson,2020,8,August
21728425,249900,2020-07-30,Johnson,2020,7,July
21725958,265000,2020-07-21,Johnson,2020,7,July
21725708,235000,2020-07-21,Johnson,2020,7,July
21722745,255000,2020-07-06,Johnson,2020,7,July
21721300,250000,2020-07-01,Johnson,2020,7,July
21715556,250000,2020-06-02,Johnson,2020,6,June
21724439,250000,2020-07-12,Johnson,2020,7,July
21749959,245000,2020-11-01,Johnson,2020,11,November
21743914,254900,2020-10-06,Johnson,2020,10,October
21738828,249900,2020-09-19,Johnson,2020,9,September
