GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME,YEAR,MONTH,DAY,MONTH_NAME
F,20-29,2020-04-05 00:00:00,1,Boone,2020,4,5,April
F,20-29,2020-04-06 00:00:00,1,Boone,2020,4,6,April
F,20-29,2020-04-21 00:00:00,1,Boone,2020,4,21,April
F,20-29,2020-04-22 00:00:00,1,Boone,2020,4,22,April
F,20-29,2020-05-01 00:00:00,1,Boone,2020,5,1,May
F,20-29,2020-05-05 00:00:00,1,Boone,2020,5,5,May
F,20-29,2020-05-07 00:00:00,1,Boone,2020,5,7,May
F,20-29,2020-05-19 00:00:00,1,Boone,2020,5,19,May
F,20-29,2020-05-20 00:00:00,3,Boone,2020,5,20,May
F,20-29,2020-05-29 00:00:00,2,Boone,2020,5,29,May
F,20-29,2020-06-01 00:00:00,1,Boone,2020,6,1,June
F,20-29,2020-06-03 00:00:00,3,Boone,2020,6,3,June
F,20-29,2020-06-11 00:00:00,1,Boone,2020,6,11,June
F,20-29,2020-06-23 00:00:00,1,Boone,2020,6,23,June
F,20-29,2020-06-26 00:00:00,1,Boone,2020,6,26,June
F,20-29,2020-06-28 00:00:00,1,Boone,2020,6,28,June
F,20-29,2020-06-29 00:00:00,1,Boone,2020,6,29,June
F,20-29,2020-07-02 00:00:00,1,Boone,2020,7,2,July
F,20-29,2020-07-06 00:00:00,1,Boone,2020,7,6,July
F,20-29,2020-07-08 00:00:00,1,Boone,2020,7,8,July
F,20-29,2020-07-12 00:00:00,1,Boone,2020,7,12,July
F,20-29,2020-07-13 00:00:00,1,Boone,2020,7,13,July
F,20-29,2020-07-17 00:00:00,3,Boone,2020,7,17,July
F,20-29,2020-07-18 00:00:00,2,Boone,2020,7,18,July
F,20-29,2020-07-19 00:00:00,1,Boone,2020,7,19,July
F,20-29,2020-07-20 00:00:00,1,Boone,2020,7,20,July
F,20-29,2020-07-21 00:00:00,2,Boone,2020,7,21,July
F,20-29,2020-07-22 00:00:00,1,Boone,2020,7,22,July
F,20-29,2020-07-26 00:00:00,1,Boone,2020,7,26,July
F,20-29,2020-07-30 00:00:00,2,Boone,2020,7,30,July
F,20-29,2020-07-31 00:00:00,2,Boone,2020,7,31,July
F,20-29,2020-08-03 00:00:00,1,Boone,2020,8,3,August
F,20-29,2020-08-04 00:00:00,1,Boone,2020,8,4,August
F,20-29,2020-08-05 00:00:00,1,Boone,2020,8,5,August
F,20-29,2020-08-06 00:00:00,2,Boone,2020,8,6,August
F,20-29,2020-08-09 00:00:00,1,Boone,2020,8,9,August
F,20-29,2020-08-11 00:00:00,1,Boone,2020,8,11,August
F,20-29,2020-08-12 00:00:00,2,Boone,2020,8,12,August
F,20-29,2020-08-19 00:00:00,1,Boone,2020,8,19,August
F,20-29,2020-08-21 00:00:00,2,Boone,2020,8,21,August
F,20-29,2020-08-23 00:00:00,1,Boone,2020,8,23,August
F,20-29,2020-08-25 00:00:00,1,Boone,2020,8,25,August
F,20-29,2020-08-26 00:00:00,2,Boone,2020,8,26,August
F,20-29,2020-08-28 00:00:00,2,Boone,2020,8,28,August
F,20-29,2020-08-29 00:00:00,1,Boone,2020,8,29,August
F,20-29,2020-08-30 00:00:00,1,Boone,2020,8,30,August
F,20-29,2020-08-31 00:00:00,2,Boone,2020,8,31,August
F,20-29,2020-09-01 00:00:00,2,Boone,2020,9,1,September
F,20-29,2020-09-02 00:00:00,2,Boone,2020,9,2,September
F,20-29,2020-09-03 00:00:00,1,Boone,2020,9,3,September
F,20-29,2020-09-04 00:00:00,1,Boone,2020,9,4,September
F,20-29,2020-09-06 00:00:00,1,Boone,2020,9,6,September
F,20-29,2020-09-08 00:00:00,1,Boone,2020,9,8,September
F,20-29,2020-09-09 00:00:00,1,Boone,2020,9,9,September
F,20-29,2020-09-10 00:00:00,2,Boone,2020,9,10,September
F,20-29,2020-09-12 00:00:00,2,Boone,2020,9,12,September
F,20-29,2020-09-13 00:00:00,1,Boone,2020,9,13,September
F,20-29,2020-09-15 00:00:00,1,Boone,2020,9,15,September
F,20-29,2020-09-17 00:00:00,2,Boone,2020,9,17,September
F,20-29,2020-09-21 00:00:00,1,Boone,2020,9,21,September
F,20-29,2020-09-22 00:00:00,1,Boone,2020,9,22,September
F,20-29,2020-09-23 00:00:00,1,Boone,2020,9,23,September
F,20-29,2020-09-24 00:00:00,2,Boone,2020,9,24,September
F,20-29,2020-09-26 00:00:00,1,Boone,2020,9,26,September
F,20-29,2020-09-30 00:00:00,1,Boone,2020,9,30,September
F,20-29,2020-10-02 00:00:00,1,Boone,2020,10,2,October
F,20-29,2020-10-06 00:00:00,1,Boone,2020,10,6,October
F,20-29,2020-10-07 00:00:00,1,Boone,2020,10,7,October
F,20-29,2020-10-08 00:00:00,1,Boone,2020,10,8,October
F,20-29,2020-10-10 00:00:00,1,Boone,2020,10,10,October
F,20-29,2020-10-12 00:00:00,1,Boone,2020,10,12,October
F,20-29,2020-10-13 00:00:00,1,Boone,2020,10,13,October
F,20-29,2020-10-15 00:00:00,2,Boone,2020,10,15,October
F,20-29,2020-10-16 00:00:00,1,Boone,2020,10,16,October
F,20-29,2020-10-18 00:00:00,1,Boone,2020,10,18,October
F,20-29,2020-10-20 00:00:00,1,Boone,2020,10,20,October
F,20-29,2020-10-21 00:00:00,2,Boone,2020,10,21,October
F,20-29,2020-10-22 00:00:00,3,Boone,2020,10,22,October
F,20-29,2020-10-23 00:00:00,1,Boone,2020,10,23,October
F,20-29,2020-10-24 00:00:00,1,Boone,2020,10,24,October
F,20-29,2020-10-25 00:00:00,2,Boone,2020,10,25,October
F,20-29,2020-10-26 00:00:00,2,Boone,2020,10,26,October
F,20-29,2020-10-27 00:00:00,1,Boone,2020,10,27,October
F,20-29,2020-10-28 00:00:00,3,Boone,2020,10,28,October
F,20-29,2020-10-29 00:00:00,5,Boone,2020,10,29,October
F,20-29,2020-11-01 00:00:00,2,Boone,2020,11,1,November
F,20-29,2020-11-02 00:00:00,3,Boone,2020,11,2,November
F,20-29,2020-11-03 00:00:00,2,Boone,2020,11,3,November
F,20-29,2020-11-04 00:00:00,3,Boone,2020,11,4,November
F,20-29,2020-11-05 00:00:00,1,Boone,2020,11,5,November
F,20-29,2020-11-06 00:00:00,8,Boone,2020,11,6,November
F,20-29,2020-11-07 00:00:00,4,Boone,2020,11,7,November
F,20-29,2020-11-08 00:00:00,1,Boone,2020,11,8,November
F,20-29,2020-11-09 00:00:00,3,Boone,2020,11,9,November
F,20-29,2020-11-10 00:00:00,3,Boone,2020,11,10,November
F,20-29,2020-11-11 00:00:00,3,Boone,2020,11,11,November
F,20-29,2020-11-12 00:00:00,6,Boone,2020,11,12,November
F,20-29,2020-11-13 00:00:00,2,Boone,2020,11,13,November
F,20-29,2020-11-14 00:00:00,4,Boone,2020,11,14,November
F,20-29,2020-11-15 00:00:00,2,Boone,2020,11,15,November
F,20-29,2020-11-16 00:00:00,6,Boone,2020,11,16,November
F,20-29,2020-11-17 00:00:00,7,Boone,2020,11,17,November
F,20-29,2020-11-18 00:00:00,9,Boone,2020,11,18,November
F,20-29,2020-11-19 00:00:00,4,Boone,2020,11,19,November
F,20-29,2020-11-20 00:00:00,5,Boone,2020,11,20,November
F,20-29,2020-11-21 00:00:00,2,Boone,2020,11,21,November
F,20-29,2020-11-22 00:00:00,3,Boone,2020,11,22,November
F,20-29,2020-11-23 00:00:00,9,Boone,2020,11,23,November
F,20-29,2020-11-24 00:00:00,3,Boone,2020,11,24,November
F,20-29,2020-11-25 00:00:00,6,Boone,2020,11,25,November
F,20-29,2020-11-26 00:00:00,2,Boone,2020,11,26,November
F,20-29,2020-11-27 00:00:00,1,Boone,2020,11,27,November
F,20-29,2020-11-28 00:00:00,3,Boone,2020,11,28,November
F,20-29,2020-11-29 00:00:00,6,Boone,2020,11,29,November
F,20-29,2020-11-30 00:00:00,3,Boone,2020,11,30,November
F,20-29,2020-12-01 00:00:00,2,Boone,2020,12,1,December
F,20-29,2020-12-02 00:00:00,8,Boone,2020,12,2,December
