"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"2501","21722431","S","SFD","4448 Whitecoat Dr","4906","$289,120","5","3","0","FranklnTP","HUNTERS CROSSING","1","2LEVL","ATTACH","2","3,054","No","3,054","25","CESC02"
"2501","21736004","S","SFD","5924 Thompson Park Blvd","4906","$289,900","4","2","1","FranklnTP","BURTON CROSSING","0","2LEVL","ATTACH","3","3,321","No","3,321","3","FTHM01"
"2501","21703333","S","SFD","7313 Wooden Grange Dr","4906","$289,900","3","2","0","FranklnTP","Villas at Birchwood Park","0","1LEVL","ATTACH","2","1,693","No","1,693","191","HMSR01"
"2501","21738783","S","SFD","3641 Fisher Rd","4906","$290,000","3","2","0","FranklnTP","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,428","No","1,428","9","CARP03"
"2501","21732825","S","SFD","8115 Rocky Meadows Pl","4906","$290,000","5","3","0","FranklnTP","MEADOW BEND","1","2LEVL","ATTACH","3","3,364","No","3,364","22","FTRE01"
"2501","21722652","S","SFD","8822 Rowling Way","4906","$290,000","3","2","1","FranklnTP","VILLAGE AT NEW BETHEL","0","1LEVL","ATTACH","3","2,333","No","2,333","90","HMSR01"
"2501","21729977","S","SFD","8235 Morera Ct","4906","$291,000","3","2","1","FranklnTP","ABBINGTON","1","2LEVL","ATTACH","2","2,429","No","2,429","67","TUCK16"
"2501","21722070","S","SFD","7708 Highridge Dr","4906","$293,000","5","3","0","FranklnTP","LAKELAND TRAILS","0","2LEVL","ATTACH","2","2,774","Yes","4,091","37","JPTM01"
"2501","21732556","S","SFD","5074 Clemens Pl","4906","$295,000","3","2","1","FranklnTP","VILLAGE AT NEW BETHEL","1","2LEVL","ATTACH","2","2,506","No","2,506","2","TUCK18"
"2501","21726169","S","SFD","8543 Acton Rd","4906","$295,000","3","2","0","FranklnTP","NO SUBDIVISION","1","2LEVL","ATTACH,DETATCH","4+","2,176","No","2,176","5","DRRL01"
"2501","21719220","S","SFD","5847 Trophy Oaks Ct","4906","$295,000","4","2","1","FranklnTP","SPRING OAKS","1","2LEVL","ATTACH","2","2,260","Yes","3,379","45","HTPR01"
"2501","21715121","S","CND","7845 King Post Dr","4906","$297,990","2","2","0","FranklnTP","STONEBRIDGE","0","1LEVL","ATTACH","2","1,754","No","1,754","87","CARP12"
"2501","21731460","S","SFD","7410 Sunset Ridge Pkwy","4906","$298,000","3","2","1","FranklnTP","GLEN RIDGE SOUTH","1","2LEVL","ATTACH","2","2,813","No","2,813","4","RESL01"
