MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21647075,,Residential,Single Fam,,West,Tim R. Young,,96500,96500,2019-06-13,2019-09-10,"Red Hot, REALTORS LLC",Jamie Suchotzky
21635089,,Residential,Single Fam,,WAGON,Suzzanna K. Broyles,,129900,127000,2019-04-18,2020-04-19,"Smythe & Co Real Estate, Inc.",Brittany Waterman
21615262,,Residential,Single Fam,,Smith Valley,Karissa Grove,,189900,124900,2019-02-15,2019-09-30,Jade Real Estate Services LLC,Biak L. Sang
21659592,,Residential,Single Fam,,Tresslar,Christian Nicodemus,,122500,122500,2019-08-02,2020-02-02,Inabnitt Agency Inc.,William T. Inabnitt
21666793,,Residential,Single Fam,,Old Smith Valley,Thomas Fotta,Kristen Olsen,121900,121900,2019-09-07,2020-02-07,CENTURY 21 Scheetz,Bob Collins
21625937,,Residential,Single Fam,,Mount Pleasant West,Angela Esser,,150000,130000,2019-03-08,2019-09-08,"Carpenter, REALTORS®",John W. Breck
21661542,,Residential,Single Fam,,West,Gregory Leugers,Robert Speas,124900,124900,2019-08-12,2020-02-12,F.C. Tucker Company,Joseph Buttler
21638255,,Residential,Single Fam,,Rita,Morris D Lucas,Misty Lucas,135000,129900,2019-05-03,2019-11-04,"Carpenter, REALTORS®",Morris D Lucas
21653438,,Residential,Single Fam,,Smith Valley,Casey Lucas,Susan Allen,130000,127500,2019-07-17,2019-10-17,"Jeneene West Realty, LLC",Jeneene West
21642391,,Residential,Single Fam,,OLD SMITH VALLEY,Mary Miles,,149900,132900,2019-05-21,2019-11-21,Connect Realty,Brent Rickards
21655260,,Residential,Single Fam,,Morgantown,Megan Powell,,130000,130000,2019-07-19,2020-01-15,Keller Williams Indy Metro NE,Danielle Barnes
21679999,,Residential,Single Fam,,Woodcreek,Jake R. Stiles,Jamie E. Spitler,135000,135000,2019-11-04,2020-05-04,Compass Realty LLC.,Jake R. Stiles
21643791,,Residential,Single Fam,,OLD SMITH VALLEY,Deborah D. Smith,,129900,129900,2019-05-29,2019-10-01,Keller Williams Zionsville,Jordan Moody
21658411,,Residential,Single Fam,,Barefoot,Megan Everett,,149000,137500,2019-08-02,2020-02-02,"Front Porch Real Estate, LLC",Josh Mullens
21678020,,Residential,Single Fam,,LOVERS,Tyler Renick,,139000,139000,2019-10-24,2020-10-31,"Carpenter, REALTORS®",Lana Parker
21643395,,Residential,Single Fam,,Olive Branch,Jeffrey Paxson,,140000,140000,2019-05-28,2019-11-25,Your Home Team,Corina Jones
21635072,,Residential,Single Fam,,Runyon Lake,Monica Walters,,152000,152000,2019-04-18,2019-10-18,"Carpenter, REALTORS®",Elizabeth Sui
21661904,,Residential,Single Fam,,Irma,Lance Crewes,,135000,135000,2019-08-16,2020-02-16,"Carpenter, REALTORS®",Angela Esser
21666803,,Residential,Single Fam,,VILLAGE,Roger D. Webb,,148500,137000,2019-09-08,2020-01-31,"Roger Webb Real Estate, Inc",Roger D. Webb
21661048,,Residential,Single Fam,,OLIVE BRANCH,Daniel Baldini,,140000,140000,2019-08-09,2020-02-08,"Whalen Realty Group, LLC",Dawn M. Whalen
21650024,,Residential,Single Fam,,TRESSLAR,Elizabeth Duke,,145000,145000,2019-06-23,2019-12-23,"Carpenter, REALTORS®",Laura A Stevenson
21610259,,Residential,Single Fam,,SAN RICARDO,Laura Stevenson,Anne Rhinehart,154900,149000,2018-12-06,2019-09-28,"Durbin Real Estate, LLC.",Jamar Wright
21665944,,Residential,Single Fam,,Paddock,Ross J. Graham,Sarah Graham,139900,139900,2019-09-05,2020-03-06,"United, REALTORS®",Tim R. Young
21670090,,Residential,Single Fam,,Mullinix,Nancy Juday,,159900,144900,2019-09-19,2020-03-19,"Front Porch Real Estate, LLC",Zachary Rohrer
21659616,,Residential,Single Fam,,Maple,Teena Stephens,,150000,148500,2019-08-03,2020-02-03,"Carpenter, REALTORS®",Brad Chinn
21640727,,Residential,Single Fam,,Carlisle,Joe Farley,Jessica Walser,139900,139900,2019-05-16,2019-11-16,"Carpenter, REALTORS®",Ray Eldridge
21637875,,Residential,Single Fam,,Lincoln Park E,Monica Klein-Dollens,Jeffrey Dollens,135500,135500,2019-05-01,2019-07-30,"Smart Choice Realtors, LLC",Kathleen M. Roell
21666046,,Residential,Single Fam,,ESTATES,Casey Lucas,Jacquelyn Anderson,139000,139000,2019-09-06,2020-02-24,"Ebeyer Realty, LLC",David P. Ebeyer
21644639,,Residential,Single Fam,,Creekside,Mark Linder,Norman E. McClain,139900,139900,2019-06-06,2019-12-06,CENTURY 21 Scheetz,Mark Linder
21633243,,Residential,Single Fam,,DRIFTWOOD,Rob Campbell,Joyce Campbell,149900,149900,2019-04-24,2019-07-24,CENTURY 21 Scheetz,Laura H. Heigl
21641831,,Residential,Single Fam,,BURKHART,Mark Linder,Laurie Brown,144900,144900,2019-06-06,2019-09-06,"Cottingham Realty, Appraisal",Debbie K. Cottingham
21667651,,Residential,Single Fam,,Rita,Donna L. Zelner,,149900,145000,2019-09-12,2020-03-12,Keller Williams Indy Metro S,Miguel Rodriguez
21641704,,Residential,Condo,,LIBRARY,David E. Allen,John Deck,145000,145000,2019-05-20,2019-11-30,F.C. Tucker Company,Debbie Konter
21643116,,Residential,Single Fam,,Timber Creek,Sheila Short,,145000,145000,2019-05-25,2019-11-30,Jade Real Estate Services LLC,Linda Par Cer
21679006,,Residential,Single Fam,,Darlene,Erica Duncan,Timothy A. Ratliff,149900,149900,2019-11-01,2020-05-31,RE/MAX Results,Don Harrington
