MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21616166,,Residential,Single Fam,,Golden Oak,Bradley Grant,,453645,429500,2019-01-25,2020-01-25,Keller Williams Indpls Metro N,Jennifer Goodspeed
21613301,,Residential,Single Fam,,Bosler,Bradley Grant,,459650,429650,2019-01-07,2020-01-07,DAVID BRENTON'S TEAM,David C. Brenton
21649392,,Residential,Single Fam,,Leah,Jonathan D. Bell,,415000,404900,2019-06-20,2019-12-20,Keller Williams Indy Metro W,Benjamin Thomas
21659407,,Residential,Single Fam,,Dumfries,Kimberly Carpenter,,425000,425000,2019-08-01,2019-12-28,Berkshire Hathaway Home,Terri McGavock
21608778,,Residential,Single Fam,,Barley,Bradley Grant,,439995,409995,2018-11-27,2019-11-27,"Carpenter, REALTORS®",Rhonda Smith
21642828,,Residential,Single Fam,,Hatfield,Bradley Grant,,439360,419360,2019-05-24,2020-05-24,Keller Williams Indpls Metro N,Megan Porterfield
21635889,,Residential,Single Fam,,Golden Oak,Bradley Grant,,459995,434970,2019-04-24,2020-04-24,Non-BLC Office,Non-BLC Member
21617544,,Residential,Single Fam,,Hatfield,Bradley Grant,,445835,419835,2019-02-05,2020-02-05,F.C. Tucker Company,Will E. Lonnemann
21637523,,Residential,Single Fam,,Windrider,Jeremy A. Page,,439000,425000,2019-05-03,2019-11-04,Principle Real Estate Group,Paula B. Bell
21625553,,Residential,Single Fam,,Golden Oak,Bradley A. Grant,,447635,442635,2019-03-08,2020-03-08,CENTURY 21 Scheetz,Bradley A. Grant
21641709,,Residential,Single Fam,,Fieldstone,Jamie Hall,Lea K. Grove,439900,429900,2019-05-20,2019-11-20,F.C. Tucker Company,Heather Newbold
21617960,,Residential,Single Fam,,WINDBOROUGH,Ahmed Ibrahim,,469000,439000,2019-02-07,2020-02-07,RE/MAX Centerstone,Kelly L. Wood
21648316,,Residential,Single Fam,,Hatfield,Bradley Grant,,449460,449460,2019-06-20,2020-06-20,Homewise Realty LLC,Joseph C. Gray
21642544,,Residential,Single Fam,,Bosler,Bradley A. Grant,,479995,479995,2019-05-23,2020-05-23,Community Real Estate Group,Dawn M. Lowden
21643911,,Residential,Single Fam,,Co. Rd. 925,Stan Comer,,475000,440000,2019-05-30,2019-11-30,"Carpenter, REALTORS®",Clinton Cooper
21642041,,Residential,Single Fam,,Reel Creek,Kathy Wood,,439900,439900,2019-05-31,2019-11-30,"The Tinsley Team, LLC",Phillip Tinsley
21636204,,Residential,Single Fam,,County Road 750,Jim Poole,Margaret J. Chambers,490000,470000,2019-04-24,2019-09-24,Hardin Realty Group,Timothy Hardin
21627084,,Residential,Single Fam,,Oak Tree,Denesa Webber,Terri Wilcox,459000,459000,2019-03-21,2019-09-21,CENTURY 21 Scheetz,Bradley A. Grant
21609412,,Residential,Single Fam,,Barley,Bradley Grant,,469995,469995,2018-11-30,2019-11-30,F.C. Tucker Company,Beau Benjamin
21664714,,Residential,Single Fam,,Barley,Non-BLC Member,,455110,455110,2018-12-31,2019-09-30,CENTURY 21 Scheetz,Kimberly Ziegler
21652069,,Residential,Single Fam,,Southwind,Debbie McMillan,,469900,469900,2019-07-02,2020-01-03,Go Fish Realty,Kevin Fish
21629538,,Residential,Single Fam,,Creek Ridge,Sheila Short,,400000,450000,2019-03-28,2019-09-30,BluPrint Real Estate Group,Summer Thomas
21642564,,Residential,Single Fam,,Fenway,Joe A. Spate,,449900,449900,2019-05-24,2019-11-30,F.C. Tucker Company,Peggy L. Kieper
21629088,,Residential,Single Fam,,Windridge,Jamie Hall,Lea K. Grove,495000,484900,2019-03-28,2019-09-27,F.C. Tucker Company,Melissa Sheets
21629329,,Residential,Single Fam,,Windridge,Jamie Hall,Lea K. Grove,495000,495000,2019-03-28,2019-07-29,Jeff Paxson Real Estate Browns,Daniel Moran
21616588,,Residential,Single Fam,,County Road 650,Mike Scheetz,Melanie R. Scheetz,575000,550000,2019-03-13,2019-09-13,Indiana Home Realty,Todd Messer
21641972,,Residential,Single Fam,,Southwind,Stephanie Evelo,Jennifer Jurek,550000,550000,2019-05-23,2019-11-22,F.C. Tucker Company,Katelin Reeves
21608459,,Residential,Single Fam,,HOLLAWAY,Tonya McCarthy,,559000,529900,2018-11-23,2019-11-17,Encore Sotheby's International,Tracy Wright
21616550,,Residential,Single Fam,,STATE ROAD 267,Jeanne Hutcherson,,574900,564900,2019-02-14,2019-08-14,CENTURY 21 Scheetz,Jeanne Hutcherson
21631461,,Residential,Single Fam,,Sunshine Meadows,Jamie Hall,Lea K. Grove,575000,575000,2019-04-09,2019-10-09,"Carpenter, REALTORS®",Jennifer Blandford
21632811,,Residential,Single Fam,,Highwood,Janice Beltz,,725000,615000,2019-04-17,2019-12-17,RE/MAX Centerstone,Walt O'Riley
21637484,,Residential,Single Fam,,Reel Creek,Brenda K. Bartle,,679000,649000,2019-04-30,2019-10-29,Litz Real Estate,Margaret Litz
21637825,,Residential,Single Fam,,Southwind,Jason Hess,,699900,679900,2019-05-03,2019-09-01,Keller Williams Indpls Metro N,Jason Hess
21652514,,Residential,Single Fam,,County Road 650,Scott Lindsay,,699900,699900,2019-07-11,2020-01-11,Keller Williams Indy Metro W,Matthew Reffeitt
21641719,,Residential,Single Fam,,US Highway 136,Eric Miller,,100000,100000,2019-05-19,2019-09-19,RE/MAX Centerstone,Kelly L. Wood
21655409,,Residential,Single Fam,,Maple,Lori Redman,,115000,115000,2019-07-18,2019-10-18,Sold It Realty Group,Lori Redman
21618708,,Residential,Single Fam,,Main,Lori Redman,,189900,155000,2019-02-12,2019-08-12,"Wright, REALTORS®",Eric Miller
21643094,,Residential,Single Fam,,Main,Jake Stiles,,130000,130000,2019-06-01,2019-12-01,CENTURY 21 Scheetz,Matthew B Kresse
21663827,,Residential,Single Fam,,Main,Randy Williams,,149900,137000,2019-08-26,2020-02-26,"Instate Realty, LLC",Randy M. Williams
21680410,,Residential,Single Fam,,LOCKERBIE,Paul E. Miller Jr.,,140000,140000,2019-11-08,2020-05-08,Homewise Realty LLC,Joseph C. Gray
21641121,,Residential,Single Fam,,Main,Richard Amburgey,,142900,142900,2019-05-15,2019-11-15,Streamlined Realty,Cara E Nelson
21676770,,Residential,Single Fam,,Osborne,Ronda Pollock,Sam Pollock,139900,145000,2019-10-26,2020-04-26,"Carpenter, REALTORS®",Savanna Johnson
21665616,,Residential,Single Fam,,BROADMOOR,Kurt E. Allen,,149900,149900,2019-09-04,2020-03-04,Homewise Realty LLC,Melissa L. Baker
21665961,,Residential,Single Fam,,Main,Ashley Paris,,164900,164900,2019-09-04,2020-03-04,Rise Real Estate,Ashley Paris
21663039,,Residential,Single Fam,,Brixton Woods West,Kelly L. Wood,,164900,159900,2019-08-25,2020-02-29,RE/MAX Advanced Realty,Eric A. Gebauer
21658298,,Residential,Single Fam,,Lynn Ct,Kathy Cunningham,,145000,145000,2019-07-29,2020-01-29,CENTURY 21 Scheetz,Lee Skiles
21639909,,Residential,Condo,,Meridian,Reba Evans,,155000,155000,2019-05-05,2019-09-05,Keller Williams Indy Metro W,Austin Brown
21643262,,Residential,Single Fam,,Kensington,Cathy Toombs,,149900,149900,2019-07-09,2019-12-31,RE/MAX Centerstone,Tamara A. Carroll
21675923,,Residential,Single Fam,,MORSE,Emily G. Brewer,,149900,149900,2019-10-24,2020-03-24,F.C. Tucker Company,Sherry H. Drybrough
21670149,,Residential,Single Fam,,BRIXTON WOODS,Corina Jones,John Pfifer,179900,159900,2019-10-02,2020-04-02,United Real Estate Indpls,Katie Pierson-Colden
21668425,,Residential,Single Fam,,Poplar,Sandra Ginn,,164900,164900,2019-10-02,2020-04-02,F.C. Tucker Company,Nicholas J. Laviolette
21643171,,Residential,Single Fam,,CR 350 North,Robin Pickett,,160000,160000,2019-05-25,2019-10-20,RE/MAX Centerstone,Robin Pickett
21651677,,Residential,Single Fam,,Lasalle,Kathleen Tearman,,165000,165000,2019-07-12,2019-12-12,RE/MAX Advanced Realty,Richard B. Green
21636374,,Residential,Single Fam,,Lockerbie,Amanda K. Shockley,,165000,165000,2019-04-25,2020-04-26,RE/MAX Advanced Realty,Eric A. Gebauer
21648206,,Residential,Single Fam,,County Road 150,Debbie McMillan,,167500,167500,2019-06-20,2019-12-20,F.C. Tucker Company,Stephanie J. Cirbo
21670339,,Residential,Single Fam,,Albermarle,Eric A. Gebauer,,169900,169900,2019-09-21,2020-01-31,F.C. Tucker Company,Patricia Mahoney
21653665,,Residential,Single Fam,,Lockerbie,Avery Garrett,,,169900,2019-07-11,2019-12-26,RE/MAX Centerstone,Janie Posey
21639534,,Residential,Condo,,Quail Creek,Lynn M. Geis,,195000,179900,2019-06-03,2019-12-03,Community Real Estate Group,Dawn M. Lowden
21681931,,Residential,Single Fam,,Brooks,Ronda E. Pollock,,178000,178000,2019-11-08,2019-12-07,F.C. Tucker Company,Harold Davis
21670103,,Residential,Single Fam,,Leisure Lane,Stan Comer,,180000,180000,2019-09-19,2020-03-31,"Carpenter, REALTORS®",Matt Trammel
21652946,,Residential,Single Fam,,Freedom,Brian Maire,Benjamin Claghorn,184900,184900,2019-07-08,2019-10-08,High Point Realty Group,Kendrick Davis
21661180,,Residential,Single Fam,,Cardinal,Marty Wagner,,189900,189900,2019-08-09,2020-02-09,Wall and Associates,Phyllis J. Mitchell
21647296,,Residential,Single Fam,,BRIXTON WOODS,Matthew Reffeitt,Trent J. Whittington,141000,189900,2019-06-14,2019-12-13,Homes & Homesites,Susan Webb
21651139,,Residential,Single Fam,,BROADMOOR BEND,Deanna Bauer,,210000,190000,2019-06-27,2019-12-31,The Stewart Home Group,Gwenndelynn Richard
21647797,,Residential,Single Fam,,Lockerbie,Jamie Hall,Lea K. Grove,199900,194900,2019-06-19,2019-10-19,Homewise Realty LLC,Joseph C. Gray
21649754,,Residential,Single Fam,,Albermarle,Kimberly A. Gubler,,189900,189900,2019-06-21,2019-12-21,F.C. Tucker Company,Dayne Collings
21647785,,Residential,Single Fam,,WALNUT,Rich Boals,,204000,196500,2019-06-17,2020-05-16,"Carpenter, REALTORS®",Jamie Hall
21638570,,Residential,Single Fam,,Penny,Carl Vargas,Deana K. Fletcher,195000,195000,2019-05-07,2019-11-07,Keller Williams Indy Metro NE,Anabel C. Haviza
21637660,,Residential,Single Fam,,Reed,Rachael R. Phillips,,195000,195000,2019-05-21,2020-05-21,F.C. Tucker Company,Mathew MacDonald
21651896,,Residential,Single Fam,,Lockerbie,Heather Robison,,209900,199900,2019-07-02,2019-12-31,CrestPoint Real Estate,Patrick Keller
21647657,,Residential,Condo,,Quail Creek,Don Krueger,,198900,198900,2019-06-21,2019-12-21,RE/MAX Centerstone,Robert R. Kiefer
21610950,,Residential,Condo,,QUAIL CREEK,Dawn Lowden,,224900,199900,2018-12-11,2019-11-26,Trueblood Real Estate,James B. Trueblood
21637520,,Residential,Single Fam,,Lasalle,Angie Woods,,210000,199000,2019-04-30,2019-10-30,"Carpenter, REALTORS®",Claire Anne Aikman
21647682,,Residential,Single Fam,,Lasalle,Pat Ploughe,,205000,205000,2019-06-18,2019-12-18,Innovative Home Realty,Paul E. Miller Jr.
21647162,,Residential,Single Fam,,Abbey,Rich Boals,,234000,219000,2019-06-14,2020-06-13,Sold It Realty Group,Michelle L. Campbell
21662944,,Residential,Single Fam,,Hill Valley,Michael Jones,,224900,214900,2019-08-21,2020-02-21,"Carpenter, REALTORS®",James L. Melson
