"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1001","21721017","S","SFD","503 Dylan Dr","2910","$895,000","5","4","0","Carmelclay","JACKSON'S GRANT","2","2LEVL","ATTACH","4+","2,951","Yes","4,553","24","TUCK14"
"1001","21705299","S","SFD","12668 Devon Ln","2910","$897,500","4","4","2","Carmelclay","SPRINGMILL STREAMS","2","2LEVL","ATTACH","3","5,100","Yes","7,287","122","BHHS01"
"1001","21758641","S","SFD","490 Elliot Creek Dr","2910","$897,546","5","4","0","Carmelclay","JACKSON'S GRANT","1","2LEVL","ATTACH","3","2,951","Yes","4,551","1","NBLC01"
"1001","21719914","S","SFD","11590 Ditch Rd","2910","$899,900","5","4","3","Carmelclay","CROOKED STICK","1","2LEVL","ATTACH","3","4,825","Yes","6,153","41","TUCK14"
"1001","21731007","S","SFD","10715 Towne Rd","2910","$900,000","5","4","1","Carmelclay","BELLA TERRA","3","2LEVL","ATTACH","3","3,980","Yes","5,766","4","TUCK14"
"1001","21752101","S","SFD","12007 Windpointe Pass","2910","$905,000","5","5","2","Carmelclay","WINDPOINTE","4","2LEVL","ATTACH","3","4,663","Yes","7,939","2","EXPL01"
"1001","21729964","S","SFD","4883 SNOWBERRY BAY Ct","2910","$906,000","5","5","1","Carmelclay","BAYHILL","2","MULTI","ATTACH","3","4,867","Yes","7,886","13","URE 01"
"1001","21723167","S","SFD","13360 Olivewood Cir","2910","$930,000","6","5","1","Carmelclay","VILLAGE OF TOWNE POINTE","4","2LEVL","ATTACH","4+","5,000","Yes","7,500","5","REAB09"
"1001","21730806","S","SFD","13085 Broad St","2910","$938,000","6","5","1","Carmelclay","VILLAGE OF WESTCLAY","2","2LEVL","ATTACH","3","5,748","Yes","8,459","28","ECOR01"
"1001","21745437","S","SFD","12174 Ams Run","2910","$950,000","4","4","1","Carmelclay","JACKSONS GRANT ON WILLIAMS CREEK","2","1LEVL","ATTACH","3","2,920","Yes","5,170","29","BHHS01"
