"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"501","21711808","S","CND","15372 MYSTIC ROCK Dr","2913","$216,500","2","2","2","WestWashn","BRIDGEWATER CLUB","1","3LEVL","ATTACH","2","1,831","No","1,831","5","TUCK24"
"501","21710126","S","SFD","522 Farnham Dr","2913","$218,000","3","2","0","WestWashn","SONOMA","0","1LEVL","ATTACH","2","1,618","No","1,618","6","REAB01"
"501","21715295","S","CND","1354 Pawtucket Dr","2913","$219,000","3","2","1","WestWashn","CENTENNIAL TOWNHOME","1","2LEVL","ATTACH","2","1,993","No","1,993","10","KWIN01"
"501","21709770","S","SFD","18026 Cristin Way","2913","$219,000","3","2","0","WestWashn","ASHFIELD","1","1LEVL","ATTACH","2","1,562","No","1,562","2","TUCK07"
"501","21707314","S","SFD","9 W Quail Wood Ln","2913","$219,900","3","2","0","WestWashn","QUAIL RIDGE","1","1LEVL","ATTACH","2","1,454","No","1,454","4","KWIN01"
"501","21710156","S","SFD","2006 Tourmaline Dr","2913","$220,000","3","2","1","WestWashn","COVERDALE","0","2LEVL","ATTACH","2","1,842","No","1,842","2","CESC01"
"501","21707795","S","SFD","581 ZEPHYR Way","2913","$221,000","3","2","0","WestWashn","CROSSWIND COMMONS","0","1LEVL","ATTACH","2","1,584","No","1,584","2","PRRG01"
"501","21689224","S","CND","611 Sawtooth St","2913","$222,000","3","2","0","WestWashn","THE OAKS","0","1LEVL","ATTACH","2","1,979","No","1,979","107","FRRS01"
"501","21708751","S","CND","15423 Bowie Dr","2913","$222,500","3","2","1","WestWashn","CENTENNIAL TOWNHOME","1","2LEVL","ATTACH","2","1,865","No","1,865","44","TUCK03"
"501","21711273","S","CND","1324 Pawtucket Dr","2913","$223,900","3","2","1","WestWashn","CENTENNIAL TOWNHOME","1","2LEVL","ATTACH","2","1,864","No","1,864","34","BHHS12"
"501","21715934","S","CND","550 Overcup St","2913","$225,000","3","2","0","WestWashn","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,583","No","1,583","22","CESC01"
"501","21704727","S","SFD","18711 SHADY NOOK Rd","2913","$225,000","3","2","0","WestWashn","SHADY KNOLL","1","1LEVL","ATTACH","2","1,412","No","1,412","19","KWIN05"
"501","21703091","S","SFD","14958 Copper Tree Way","2913","$226,500","4","2","1","WestWashn","SILVER THORNE","1","2LEVL","ATTACH","2","1,758","No","1,758","2","CESC01"
"501","21715811","S","SFD","17910 Amberwood Ct","2913","$228,000","3","2","0","WestWashn","WILLOW CREEK","1","1LEVL","ATTACH","2","1,504","No","1,504","2","KWIN01"
"501","21718818","S","SFD","116 FLAT ROCK DR W","2913","$230,000","3","2","0","WestWashn","PINE RIDGE","0","1LEVL","ATTACH","2","1,420","Yes","2,840","5","KWIN05"
"501","21718307","S","SFD","17218 SHADOAN Way","2913","$230,000","3","2","1","WestWashn","CAREY COMMONS","1","2LEVL","ATTACH","2","1,998","No","1,998","2","KWIN05"
"501","21711638","S","SFD","617 Zephyr Way","2913","$230,000","3","2","0","WestWashn","CROSSWIND COMMONS","1","1LEVL","ATTACH","2","1,450","No","1,450","5","KWIN01"
"501","21710335","S","SFD","16970 S Burntwood Way","2913","$230,000","3","2","0","WestWashn","MAPLE VILLAGE","1","1LEVL","ATTACH","2","1,698","No","1,698","2","RMAC01"
"501","21706508","S","SFD","18451 Harvest Meadows Dr W","2913","$230,000","3","2","0","WestWashn","HARVEST MEADOWS","1","1HALF","ATTACH","2","1,916","No","1,916","2","FRRS01"
"501","21715689","S","SFD","17732 White Willow Dr","2913","$231,000","3","2","0","WestWashn","WILLOW CREEK","0","1LEVL","ATTACH","2","1,655","No","1,655","3","KWIN01"
"501","21714870","S","SFD","17925 AMBERWOOD Ct","2913","$231,100","3","2","1","WestWashn","WILLOW CREEK","1","2LEVL","ATTACH","3","1,889","No","1,889","4","KWIN04"
"501","21708356","S","SFD","17 W Quail Wood Ln","2913","$232,900","3","2","0","WestWashn","QUAIL RIDGE","1","1LEVL","ATTACH","2","1,623","No","1,623","3","CESC04"
"501","21711881","S","SFD","16620 GREENSBORO Dr","2913","$235,000","4","2","1","WestWashn","COUNTRYSIDE","0","2LEVL","ATTACH","2","1,847","No","1,847","2","KWIN05"
"501","21708733","S","SFD","3765 Crest Point Dr","2913","$235,000","3","2","1","WestWashn","CREST VIEW","0","2LEVL","ATTACH","2","1,711","No","1,711","2","KWIN01"
"501","21704040","S","SFD","4154 Elkhorn Way","2913","$236,000","3","2","1","WestWashn","CREST VIEW","0","2LEVL","ATTACH","2","1,705","No","1,705","3","KWIN01"
"501","21714647","S","SFD","3750 Challenger Dr","2913","$238,000","3","2","1","WestWashn","CREST VIEW","1","2LEVL","ATTACH","3","1,686","No","1,686","1","URE 01"
"501","21708524","S","CND","15558 SMITHFIELD Dr","2913","$238,500","3","2","1","WestWashn","CENTENNIAL TOWNHOME","1","2LEVL","ATTACH","2","2,265","No","2,265","13","CARP31"
"501","21712034","S","SFD","2004 Emerald Pines Ln","2913","$238,900","3","2","1","WestWashn","EMERALD PLACE","1","2LEVL","ATTACH","3","1,680","No","1,680","8","EXPL01"
"501","21715267","S","SFD","14725 Village Park East Dr","2913","$239,000","3","2","1","WestWashn","VILLAGE PARK ESTATES","0","2LEVL","ATTACH","2","1,644","No","1,644","2","TUCK07"
"501","21704708","S","SFD","596 Zephyr Way","2913","$239,900","4","2","1","WestWashn","CROSSWIND COMMONS","1","2LEVL","ATTACH","2","2,032","No","2,032","5","KWIN01"
"1001","21698825","S","SFD","4127 Elkhorn Way","2913","$239,900","4","2","1","WestWashn","CREST VIEW","1","2LEVL","ATTACH","2","2,049","No","2,049","5","TUCK06"
"1001","21716268","S","SFD","4650 Whitney Rd","2913","$240,000","3","2","0","WestWashn","SUMMIT LAKES","1","1LEVL","ATTACH","2","1,854","No","1,854","7","CESC01"
"1001","21704220","S","CND","15538 Lockport Dr Unit#Block 9","2913","$240,000","3","2","1","WestWashn","CENTENNIAL","1","2LEVL","ATTACH","2","2,216","No","2,216","29","LICH01"
"1001","21712333","S","SFD","17202 Puntledge Dr","2913","$243,000","3","2","1","WestWashn","CREST VIEW","1","2LEVL","ATTACH","2","2,049","No","2,049","2","KWIN05"
"1001","21712291","S","SFD","17071 S Burntwood Way","2913","$243,000","3","2","0","WestWashn","MAPLE VILLAGE","1","1LEVL","ATTACH","2","1,804","No","1,804","4","REAB01"
"1001","21708157","S","SFD","17242 Shadoan Way","2913","$243,500","3","2","1","WestWashn","CAREY COMMONS","1","2LEVL","ATTACH","2","1,694","No","1,694","2","BHHS01"
